armenian,phonetic
"փառք","kéz"
"իշխանութիւն","vayélé"
"պատիւ","park"
"այժմ","chr."
"ﬕշտ","alélooya"
"յաւիտեանս","alélooya."
"յաւիտենից։","chr."
"ամէն:","alleluia!"
"ընթեռնուն","alleluia!"
"զճաշու","dcn."
"գիրսն","alélooya"
"դպր.","orti."
"ալէլուիա","clb."
"ալէլուիա:","khaghaghootyoon"
"յարեաւ","aménétsoon."
"աստուած","chr."
"ցըրուեցան","yév"
"աﬔնայն","ûnt"
"թշնաﬕք","hokvooyt"
"նորա:","koom."
"փախեան","dcn."
"ատելիք","alleluia!"
"նորա","rise."
"յերեսաց","dcn."
"նորա:","yérgyooghadzootyamp"
"սրկ.","lûvarook."
"ալէլուիա","dcn."
"օրթի:","sûrpo"
"քհն.","avédaranis"
"խաղաղութիւն","hisoosi"
"աﬔնեցուն:","krisdosi"
"դպր.","vor"
"ընդ","ûsd"
"հոգւոյդ","(madtéyosi"
"քում:","margosi"
"սրկ.","dcn."
"երկիւղածութեամբ","broskhoomé."
"լըւարուք:","dcn."
"սրկ.","(ûntérnoo"
"սրբոյ","zavédaranûn"
"աւետարանիս","ûsd"
"յիսուսի","donatsootsi.)"
"թողութիւն","dcn."
"ﬔղաց:","isg"
"յարութիւն","vork"
"ﬔռելոց","asénûn"
"դատաստանըն","yérpémûn"
"յաւիտենից","horzham"
"հոգւոց","voch"
"մարﬓոց","vortin"
"յարքայութիւնըն","gam"
"երկնից","yérpémûn"
"կեանսըն","clb."
"յաւիտենականըս:","isg"
"սրկ.","mék"
"իսկ","paravoréstsook"
"որք","vorharach"
"ասենըն՝","kan"
"երբեմըն","z-havidyanûs"
"յորժամ","yérgirbakanélov"
"դին","chr."
"կամ","dér"
"երբեմըն","voghormya"
"յորժամ","dcn."
"սուրբ","yév"
"գին","yévûs"
"կամ","havadov"
"թէ՝","aghachéstsook"
"յոչէից","yév"
"եղեն","khûntréstsook"
"կամ","dyarné"
"յայլմէ","asdoodzo"
"էութենէ","yév"
"ասեն","pûrgchén"
"լինել","mérmé"
"զորդին","hisoosé"
"աստուծոյ","krisdosé"
"կամ","zhamoos"
"ըզսուրբ","bashdaman"
"հոգին","yév"
"փոփոխելիք","aghotits"
"դպր.","chr."
"կեցո","gétso"
"տէր։","dér."
"շնորհեա","shnorhya"
"տէր","dér"
"շնորհեա","shnorhya"
"տէր","dér"
"շնորհեա","shnorhya"
"տէր։","dér."
"տէր","dér"
"ողորﬔա։","voghormya."
"քեզ","clb."
"տեառնըդ","vorbészi"
"յանձն","arzhanavork"
"եղիցուք։","yéghitsook"
"տէր","kohootyamp"
"ողորﬔա","paravorél"
"տէր","ûzkéz"
"ողորﬔա","ûnt"
"տէր","hor"
"ողորﬔա:","chr."
"քհն.","yév"
"որպէսզի","ûnt"
"արժանաւորք","hokvooyt"
"եղիցուք","koom."
"գոհութեամբ","dcn."
"փառաւորել","asdoodzo"
"զքեզ","yérgirbakéstsook."
"ընդ","clb."
"հօր","khaghaghootyamp"
"սուրբ","kov"
"հոգւոյդ","krisdos"
"այժմ","pûrgich"
"ﬕշտ","mér"
"յաւիտեանս","vor"
"յաւիտենից։","vér"
"ամէն:","kan"
"խաղաղութիւն","zaménayn"
"աﬔնեցուն","clb."
"դպր.","vasûn"
"ընդ","aménasoorp"
"հոգւոյդ","yérrortootyanût"
"քում:","vayélé"
"սրկ.","park"
